Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
A5-S03__k141_1615764	1.3578732	0.28425357	0.51329243	0.7157464	0.35378322	0.1390593	0.33128834
KW1-S21__k141_10252350	1.5642458	1.6576217	1.895451	2.2298484	1.8994414	2.4078212	2.9840384
KW1-S21__k141_1734357	2.9201453	3.1016333	3.5154264	2.4682395	1.261343	2.378403	2.931942
KW1-S15__k141_6947933	3.7299445	1.9761716	3.867355	4.218427	3.4487689	6.472597	2.980143
A5-S04__k141_517689	10.817161	11.630225	10.329238	14.834278	15.003675	12.277042	12.341945
KW1-S21__k141_1728917	0	0	0.26143792	0.10270775	0.1493931	0.12605043	1.0681607
KW1-S05__k141_5560227	1.7366565	3.763584	3.5464017	2.8769033	2.5924027	4.0985737	3.9450233
KW1-S05__k141_8253327	0.33173078	0.40384614	1.4307692	0.42596152	0.26923078	0.9394231	0.40384614
A5-S03__k141_7759309	21.495373	18.81815	19.49217	15.301067	11.545551	21.647331	17.703915
A5-S04__k141_3569150	2.1887505	4.8672743	2.6960871	3.3886173	3.079591	3.385727	4.00578
KW1-S15__k141_3351863	3.427011	2.5024827	3.0685203	3.348312	1.4816287	3.0163853	2.471698
KW1-S05__k141_9029798	5.7373595	4.2562566	4.9652705	5.6755195	3.8947055	4.6051245	4.7373595
KW1-S08__k141_8289970	0.6304985	1.2316716	0.1368524	2.2492669	0.7663734	1.2238514	0.4682307
KW1-S08__k141_249911	1.6491083	2.6710908	2.2932394	3.2783077	1.4077146	2.0613854	2.5391953
KW1-S15__k141_9434762	3.6509192	3.6342454	4.202437	6.547991	2.3541043	9.165455	6.399957
KW1-S05__k141_8671619	0.8433531	0.93988144	2.0702794	2.3708723	2.4682472	2.7417443	3.2379339
KW1-S08__k141_7544541	2.7386885	4.0272455	4.1794524	5.6565847	6.0039186	5.820119	6.9543257
KW1-S11__k141_1502077	2.3993542	0.30139935	1.242196	1.9526372	1.7147471	1.0548978	1.2411195
A5-S04__k141_3971728	1.1105263	2.9254386	0.5464912	2.1	0.8596491	0.6912281	0.9254386
KW1-S05__k141_5405691	1.325555	0.7766079	1.8688104	0.5922026	0.7558338	1.226807	1.3340923
KW1-S15__k141_4204368	0.14690451	0.14690451	0.25918153	0.28436518	0.14690451	1.6159496	0.14690451
KW1-S11__k141_7737579	1.575537	4.4109936	3.9071715	2.6447034	3.5249362	2.2701128	2.6607208
KW1-S08__k141_7467045	4.859522	4.0787835	4.9986243	8.843302	4.8354816	10.015424	6.2087617
KW1-S21__k141_1427893	0.9504742	1.3730242	0.34035826	0.49736565	1.4035827	1.1548998	1.605901
KW1-S05__k141_2595909	8.099165	15.352413	12.537283	16.634438	9.733756	8.630878	10.722927
KW1-S15__k141_9226242	3.062917	0.73117256	2.386082	1.7349857	1.3155386	3.8036225	0.5338417
KW1-S21__k141_3652554	1.060606	2.9640152	2.496212	0.39772728	0.6628788	1.1742424	1.9176136
KW1-S21__k141_1434318	0.58761805	0.44071352	0.88142705	0.32843652	0.58761805	0.7345226	2.2088144
KW1-S15__k141_2488996	3.6268115	4.5002785	4.6181717	3.8389075	3.7951505	6.583891	5.4994426
A5-S03__k141_293190	7.05291	4.509524	7.9132276	5.593651	7.0137568	2.3296297	4.7095237
A5-S04__k141_7079207	5.23875	16.185966	8.746149	3.6670318	3.4586935	2.255925	5.020927
A5-S04__k141_5911639	1.0303907	2.0506513	0.8856729	1.0332851	0.45586106	0.6266281	0.8408104
KW1-S05__k141_1787196	0.99348533	0.6514658	2.3127036	1.3973942	0.81867534	0.7372421	1.1129208
KW1-S11__k141_6587713	0.980981	0.9109109	1.3288288	1.498999	2.4149148	1.418919	1.6626626
A5-S03__k141_2572317	3.7773669	2.2615879	2.668146	2.2416174	0.47928995	1.3239645	2.053501
KW1-S05__k141_2350255	7.1244636	5.925931	10.73972	9.553648	7.692095	15.999723	10.720892
