phylum,variable,value
Proteobacteria,tsdA/tsdB,1
Latescibacterota,tsdA/tsdB,1
Planctomycetota,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Myxococcota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Nitrospirota,tsdA/tsdB,1
Nitrospinota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Planctomycetota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Verrucomicrobiota,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Poribacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Tectomicrobia,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Proteobacteria,tsdA/tsdB,1
Acidobacteriota,tsdA/tsdB,1
Acidobacteriota,qmoABC,1
Desulfobacterota_B,qmoABC,1
Desulfobacterota_B,qmoABC,1
Proteobacteria,qmoABC,1
Desulfobacterota_B,qmoABC,1
Desulfobacterota_B,qmoABC,1
Desulfobacterota_B,qmoABC,1
Proteobacteria,qmoABC,1
Acidobacteriota,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Chloroflexota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
KSB1,narGHI/napAB,1
Nitrospinota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Gemmatimonadota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Bacteroidota,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Chloroflexota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Nitrospirota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Desulfobacterota_B,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
SAR324,narGHI/napAB,1
Chloroflexota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Nitrospirota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Methylomirabilota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Latescibacterota,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Bacteroidota,narGHI/napAB,1
Myxococcota,narGHI/napAB,1
Nitrospirota,narGHI/napAB,1
Nitrospinota,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Bacteroidota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Chloroflexota,narGHI/napAB,1
Myxococcota_A,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Bacteroidota,narGHI/napAB,1
Myxococcota_A,narGHI/napAB,1
Chloroflexota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Verrucomicrobiota,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Myxococcota_A,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Poribacteria,narGHI/napAB,1
Bacteroidota,narGHI/napAB,1
Gemmatimonadota,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Desulfobacterota_B,narGHI/napAB,1
Tectomicrobia,narGHI/napAB,1
Acidobacteriota,narGHI/napAB,1
Desulfobacterota_B,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Proteobacteria,narGHI/napAB,1
Planctomycetota,narGHI/napAB,1
Actinobacteriota,narGHI/napAB,1
SAR324,narGHI/napAB,1
Gemmatimonadota,narGHI/napAB,1
Proteobacteria,norBC,1
Proteobacteria,norBC,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,dsrEFH/dsrL,1
